,468,469,470,471,472,473,474,475,476,477,head_rotation_hor,head_rotation_ver,head_pos,looking_pos
31,"[-0.02988125716877389, 0.39325965754666337]","[-0.03781897104742115, 0.39781663915876836]","[-0.029796245938100364, 0.47673671811897933]","[-0.024641102290928703, 0.3890638961053425]","[-0.02995855930332474, 0.3338977087341059]","[0.021538014485017513, 0.44045488632438556]","[0.018628263383629128, 0.44925470183384847]","[0.021893861274664306, 0.5384542517565467]","[0.025522199522792135, 0.43242140649171845]","[0.02119285843042108, 0.3721852631896692]",[-0.002406477928161621],[0.0010741949081420898],"[0.5598657131195068, 0.46210238337516785]","[157, 894]"
32,"[-0.029705527905507983, 0.3929377238958899]","[-0.03737430121436526, 0.3973033178148388]","[-0.02961969917180386, 0.4722798361566185]","[-0.024589807448249866, 0.3888277033682898]","[-0.029761025729504637, 0.3356715721751835]","[0.02146197779070031, 0.44183036142607507]","[0.01853590547660342, 0.45081083683496803]","[0.021825226624004667, 0.5405986209356315]","[0.025482357934219168, 0.4337199463929496]","[0.021110458281324466, 0.3731562037279754]",[-0.0023169517517089844],[0.0009847283363342285],"[0.5599262714385986, 0.45921212434768677]","[157, 894]"
33,"[-0.03200637504298525, 0.3901064746023022]","[-0.04051983642668969, 0.39425272277675]","[-0.031887266286509924, 0.46874355645473387]","[-0.026377221794294185, 0.38620005871219826]","[-0.03210180070330127, 0.333351588485999]","[0.022958138956338504, 0.4415241357143289]","[0.019849890288667262, 0.45009748192023175]","[0.023337369472855175, 0.5413507546924791]","[0.027209471420950516, 0.4338775538665725]","[0.02259020445461396, 0.37232700304535543]",[-0.0024097561836242676],[0.0010761618614196777],"[0.5597342848777771, 0.4592765271663666]","[157, 894]"
34,"[-0.0295639464247583, 0.3961510158884856]","[-0.03752511183792718, 0.39996065087524574]","[-0.02947466018305628, 0.47653415040349517]","[-0.024344945697501293, 0.3924196507509825]","[-0.029623287229054513, 0.3382985634389033]","[0.02113119704766907, 0.448661392479024]","[0.018242648281577564, 0.4575864560964035]","[0.021481286100416674, 0.5505488460252415]","[0.025117280285964338, 0.4405166587046452]","[0.020795911517735608, 0.37803364545878504]",[-0.0026012063026428223],[0.001002967357635498],"[0.5601401925086975, 0.45795655250549316]","[157, 894]"
35,"[-0.02794220496862932, 0.39670942784760693]","[-0.03495080832998265, 0.400409110829474]","[-0.027928425021211623, 0.477392672812856]","[-0.023216049508964717, 0.3932975465832728]","[-0.027932659669479148, 0.33834193800473045]","[0.020488850831058093, 0.44697044220342247]","[0.017694937976364265, 0.45619468501089294]","[0.02084782805977373, 0.5452396804690514]","[0.024341027287278928, 0.43860386159537323]","[0.02014667407223351, 0.3782598498747016]",[-0.002591073513031006],[0.0010897517204284668],"[0.5598952770233154, 0.45634734630584717]","[157, 894]"
36,"[-0.028719694751210726, 0.3941476324976228]","[-0.036080622394260645, 0.3982753632811018]","[-0.028645638707734768, 0.47734346845950704]","[-0.023799389334684368, 0.39067133854143166]","[-0.0287751180693423, 0.3346121541167311]","[0.02113525862261865, 0.44575678133122854]","[0.018244821539195977, 0.4549048168734389]","[0.02151182810275876, 0.5449457122685342]","[0.025133426592566125, 0.43740686475447194]","[0.02077834805048965, 0.3766609794407681]",[-0.0025356411933898926],[0.0010997653007507324],"[0.5598231554031372, 0.4563833475112915]","[157, 894]"
37,"[-0.028472761686600657, 0.37853042223606204]","[-0.03434879018455717, 0.38099994038693463]","[-0.02814097539421647, 0.4455203344279313]","[-0.02427932151858695, 0.37577361084728594]","[-0.028823768846579854, 0.32804839047194134]","[0.023116595178510627, 0.4317834456803103]","[0.0197432762249541, 0.4391157835988914]","[0.02342876243972329, 0.5270236154543898]","[0.027880329230823443, 0.42524035816373273]","[0.022801498799862777, 0.36551532391248304]",[-0.0024338960647583008],[0.0011563897132873535],"[0.5596092343330383, 0.45562440156936646]","[157, 894]"
38,"[-0.028684870578209308, 0.3790876343075762]","[-0.03456921064078857, 0.38185934996529824]","[-0.028345946489369795, 0.44767546391106905]","[-0.02449392820953434, 0.37601843915667843]","[-0.029055285894470564, 0.32753499013825405]","[0.023008823342004273, 0.43342834919138074]","[0.019647171347598698, 0.44055010150954604]","[0.023308518023185367, 0.5302092625453615]","[0.027752889359914837, 0.4270861770393042]","[0.02270502251170261, 0.3663095556286958]",[-0.0025156140327453613],[0.0011404156684875488],"[0.5594170689582825, 0.4563642740249634]","[157, 894]"
39,"[-0.02738032694670201, 0.37564257355002667]","[-0.03218488227116035, 0.3783180107670118]","[-0.026997382117623203, 0.4423767679419582]","[-0.023856007998913444, 0.37255220731880145]","[-0.02783010598991343, 0.32548820085754243]","[0.02434683257891862, 0.4276309591772965]","[0.020699593244580313, 0.4347676015500208]","[0.024720374957478308, 0.5227295466487117]","[0.029528413850629927, 0.421603497462117]","[0.02397074716905746, 0.36188993138191533]",[-0.002409517765045166],[0.0011301636695861816],"[0.5594116449356079, 0.4542475938796997]","[157, 894]"
40,"[-0.028037466388874048, 0.37393104864162025]","[-0.03310870932381099, 0.37702964525922805]","[-0.027711053849849326, 0.44331398607296163]","[-0.024334001144819692, 0.37055995873837955]","[-0.028422705804953975, 0.3224038200632511]","[0.025126039493359655, 0.4277056843304339]","[0.0214134924924456, 0.4350861513944891]","[0.025496232376373724, 0.5209763912490113]","[0.0303616703685981, 0.421437661615403]","[0.02474650426485218, 0.36272117637553525]",[-0.0024127960205078125],[0.0011011958122253418],"[0.5596228837966919, 0.45434463024139404]","[157, 894]"
